@relation 'Clasfication2Weka-weka.filters.unsupervised.attribute.StringToWordVector-Rfirst-last-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \" \\r\\n\\t.,;:\\\'\\\"()?!\"-weka.filters.unsupervised.attribute.NominalToString-C2-weka.filters.unsupervised.attribute.NumericToBinary-R5-last-weka.filters.unsupervised.attribute.NumericToNominal-R53'

@attribute Id numeric
@attribute Description string
@attribute 'Initiative status' {'In progress',Pilot,Live,Research}
@attribute TherapeuticArea {Breast,Lung,Ophtha,Liver,'Alzheimers Disease',Haemophilia}
@attribute Prevention_binarized {0,1}
@attribute Unwellness_binarized {0,1}
@attribute Prediagnosis_binarized {0,1}
@attribute Treatment_binarized {0,1}
@attribute 'Maintain life_binarized' {0,1}
@attribute End_of_life_support_binarized {0,1}
@attribute Be_up_to_date_HCP_binarized {0,1}
@attribute 'Manage_and_treat_ my_patient_HCP_binarized' {0,1}
@attribute Advance_medical_science_HCP_binarized {0,1}
@attribute Manage_my_business_HCP_binarized {0,1}
@attribute Digital_Health_Solution_Dig_cat_binarized {0,1}
@attribute Information_Dig_Cat_binarized {0,1}
@attribute Service_Dig_Cat_binarized {0,1}
@attribute Arabic_binarized {0,1}
@attribute Bosnian_binarized {0,1}
@attribute Bulgarian_binarized {0,1}
@attribute Chinese_binarized {0,1}
@attribute Croatian_binarized {0,1}
@attribute Czech_binarized {0,1}
@attribute Danish_binarized {0,1}
@attribute Dutch_binarized {0,1}
@attribute English_binarized {0,1}
@attribute Estonian_binarized {0,1}
@attribute Finnish_binarized {0,1}
@attribute French_binarized {0,1}
@attribute German_binarized {0,1}
@attribute Greek_binarized {0,1}
@attribute Hebrew_binarized {0,1}
@attribute Hungarian_binarized {0,1}
@attribute Indonesian_binarized {0,1}
@attribute Italian_binarized {0,1}
@attribute Korean_binarized {0,1}
@attribute Latvian_binarized {0,1}
@attribute Lithuanian_binarized {0,1}
@attribute Macedonian_binarized {0,1}
@attribute 'Multiple Languages_binarized' {0,1}
@attribute Norwegian_binarized {0,1}
@attribute Polish_binarized {0,1}
@attribute Portuguese_binarized {0,1}
@attribute Romanian_binarized {0,1}
@attribute Russian_binarized {0,1}
@attribute Serbian_binarized {0,1}
@attribute Slovakian_binarized {0,1}
@attribute Spanish_binarized {0,1}
@attribute Swedish_binarized {0,1}
@attribute Thai_binarized {0,1}
@attribute Turkish_binarized {0,1}
@attribute Vietnamese_binarized {0,1}
@attribute GlobalRollout {0,1}

@data
0,'The ID2P mission is to reimagine and transform the treatment journey for patients by enabling direct to homenear home delivery The ID2P above market team helps affiliates on their mission to establish the solutions and capabilities necessary to Pilot a direct to patient delivery solution in market','In progress',Breast,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,'LUNIT is an AI engine that detects and characterizes suspicious areas for breast cancer on mammograms to support radiologists in Breast Cancer detection This is a partnership project with RocheMicrosoftLunit',Pilot,Breast,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,'Website with information that guides women and men about decisions on breast reconstruction The website has information checlists guides and more',Live,Breast,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,'A digital navigation that is providing virtual assistance and guidance in a discreet and conversational format to you as patients and caregivers throughout your disease journey and support after diagnosis Ana can be overlayed with websites see example from South Africa here httpswwwrochecozaenpatientsupportcollaborationwithpatientgroupshtml',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,'Feeling accompanied throughout the process of detection and treatment of breast cancer is necessary Your family friends and the patients who are in the same situation and that you have met in the hospital are a great support so as not to decline but for practical reasons you can use a new travel companion the Diana applicationWith it you can plan your daytoday your consultations the days of treatment the support sessions in short all the elements of your roadmap to fight with your disease together All the information included in the application is endorsed by specialists and can be consulted quickly and easily by both patients and their families Having this resource helps to better cope with the disease process Thus in the section dedicated to frequently asked questions the necessary information is offered and endorsed by doctors to resolve many of the doubts that arise especially those that are not discussed in the consultation Another important section is the journal There you can write down your experiences fears motivation  which will allow you to see the steps you are taking and the objectives achieved',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,'Dialogue platform for reliable medical information to patients spouses children and other closeones in common language and supporting in emphatic and personalized way when you need it the most throughout the BC journey In progress in Finland This project is connected with UNEEQ project also part of CARING',Live,Breast,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,'You may be feeling lost You may not know where to start Wherever your experience with breast cancer takes you My Breast Cancer Compass can help guide you through and answer your questions',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,'Through the canceruldesanro platform Roche aims to educate the general public on the prevention diagnosis and treatment of breast cancer The site is aimed at both patients with this condition and their relatives who want to know more details about the disease lifestyle and how breast cancer can be managed',Live,Breast,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,'Website about Avastin for patients',Live,Breast,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,'A website for patients and HCPs to seek information about Perjeta',Live,Breast,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
